,BOWLING,team,W,ECON,R,balls_balled,extras,boundaries,M,normalized_W,normalized_ECON,normalized_extras,boundary_percentage,normalized_boundary_perc
0,Aamer Yamin,Pakistan,1,7.22,65,54.0,1,8,0,0.09009009009009009,8.222857142857142,9.910714285714286,0.14814814814814814,8.518518518518519
1,Aamir Kaleem,Oman,2,5.29,83,101.0,1,6,1,0.18018018018018017,8.774285714285714,9.910714285714286,0.0594059405940594,9.405940594059405
2,Aarif Sheikh,Nepal,6,5.561923076923078,529,669.0,12,50,2,0.5405405405405406,8.696593406593408,8.928571428571429,0.07473841554559044,9.252615844544096
3,Aaron Finch,Australia,2,6.843333333333334,146,150.0,2,15,0,0.18018018018018017,8.33047619047619,9.821428571428571,0.1,9.0
4,Aaron Jones,United States of America,0,6.084444444444444,174,186.0,3,18,0,0.0,8.547301587301588,9.732142857142858,0.0967741935483871,9.032258064516128
5,Aayan Afzal Khan,United Arab Emirates,32,3.9164,875,1358.0,12,79,20,2.8828828828828827,9.166742857142857,8.928571428571429,0.05817378497790869,9.418262150220913
6,Abdul Rahman,Afghanistan,0,6.75,27,24.0,0,3,0,0.0,8.357142857142858,10.0,0.125,8.75
7,Abhishek Paradkar,United States of America,8,7.467499999999999,159,144.0,0,24,2,0.7207207207207207,8.152142857142856,10.0,0.16666666666666666,8.333333333333334
8,Abinash Bohara,Nepal,0,5.359999999999999,51,66.0,0,7,2,0.0,8.754285714285714,10.0,0.10606060606060606,8.93939393939394
9,Abu Hider,Bangladesh,3,4.9399999999999995,89,108.0,1,10,2,0.2702702702702703,8.874285714285715,9.910714285714286,0.09259259259259259,9.074074074074074
10,Abu Jayed,Bangladesh,5,6.33,114,108.0,5,14,0,0.4504504504504504,8.477142857142857,9.553571428571429,0.12962962962962962,8.703703703703704
11,Abul Hasan,Bangladesh,0,6.25,25,24.0,0,3,0,0.0,8.5,10.0,0.125,8.75
12,Adam Milne,New Zealand,9,5.782,274,282.0,8,35,1,0.8108108108108109,8.633714285714285,9.285714285714286,0.12411347517730496,8.75886524822695
13,Adam Zampa,Australia,91,5.424230769230769,2485,2798.0,30,216,7,8.198198198198197,8.735934065934066,7.321428571428572,0.07719799857040743,9.228020014295925
14,Adhitya Shetty,United Arab Emirates,1,5.6,56,60.0,0,6,1,0.09009009009009009,8.685714285714285,10.0,0.1,9.0
15,Adil Rashid,England,104,5.8006153846153845,3354,3511.0,49,299,6,9.36936936936937,8.628395604395605,5.625,0.0851609228140131,9.14839077185987
16,Adrian Neill,Scotland,14,5.055555555555555,342,431.0,17,36,2,1.2612612612612613,8.841269841269842,8.482142857142858,0.08352668213457076,9.164733178654291
17,Afif Hossain,Bangladesh,3,6.375,68,82.0,0,7,1,0.2702702702702703,8.464285714285714,10.0,0.08536585365853659,9.146341463414634
18,Aftab Alam,Afghanistan,25,4.596666666666667,565,711.0,15,61,9,2.2522522522522523,8.972380952380952,8.660714285714286,0.08579465541490858,9.142053445850914
19,Agha Salman,Pakistan,3,5.635,318,342.0,4,25,0,0.2702702702702703,8.675714285714285,9.642857142857142,0.07309941520467836,9.269005847953217
20,Ahmed Raza,United Arab Emirates,49,4.387894736842106,1414,1998.0,24,114,14,4.414414414414415,9.03203007518797,7.857142857142857,0.057057057057057055,9.42942942942943
21,Aiden Markram,South Africa,14,6.2035,563,606.0,13,50,0,1.2612612612612613,8.513285714285715,8.839285714285714,0.08250825082508251,9.174917491749175
22,Ainsley Ndlovu,Zimbabwe,1,4.795,80,102.0,1,10,0,0.09009009009009009,8.915714285714285,9.910714285714286,0.09803921568627451,9.019607843137255
23,Aizaz Khan,Hong Kong,4,3.9200000000000004,134,187.0,4,12,1,0.36036036036036034,9.165714285714285,9.642857142857142,0.06417112299465241,9.358288770053475
24,Ajay Lalcheta,Oman,2,4.640000000000001,62,84.0,0,7,2,0.18018018018018017,8.96,10.0,0.08333333333333333,9.166666666666666
25,Akeal Hosein,West Indies,57,4.920263157894737,1687,2090.0,42,154,12,5.135135135135135,8.879924812030076,6.25,0.07368421052631578,9.263157894736842
26,Akeem Jordan,West Indies,1,5.58,56,66.0,4,8,2,0.09009009009009009,8.69142857142857,9.642857142857142,0.12121212121212122,8.787878787878787
27,Akif Raja,United Arab Emirates,3,4.156000000000001,160,228.0,6,16,4,0.2702702702702703,9.098285714285714,9.464285714285714,0.07017543859649122,9.298245614035087
28,Akila Dananjaya,Sri Lanka,37,5.351304347826087,1036,1202.0,23,101,1,3.333333333333333,8.756770186335403,7.946428571428572,0.08402662229617304,9.15973377703827
29,Al-Amin Hossain,Bangladesh,1,8.5,85,60.0,3,12,0,0.09009009009009009,7.857142857142857,9.732142857142858,0.2,8.0
30,Alasdair Evans,Scotland,24,5.525,734,794.0,24,96,7,2.1621621621621623,8.707142857142857,7.857142857142857,0.12090680100755667,8.790931989924433
31,Alei Nao,Papua New Guinea,16,5.245294117647059,629,734.0,25,66,5,1.4414414414414414,8.787058823529412,7.767857142857143,0.08991825613079019,9.100817438692099
32,Ali Khan,United States of America,33,4.8566666666666665,542,681.0,36,60,9,2.9729729729729732,8.898095238095237,6.7857142857142865,0.0881057268722467,9.118942731277533
33,Ali Naseer,United Arab Emirates,10,5.897777777777778,396,422.0,8,52,2,0.9009009009009008,8.60063492063492,9.285714285714286,0.12322274881516587,8.767772511848342
34,Alzarri Joseph,West Indies,78,4.995957446808511,2062,2491.0,105,234,20,7.027027027027027,8.858297872340426,0.625,0.09393817743877961,9.060618225612204
35,Ambati Rayudu,India,0,3.25,13,13.0,0,2,0,0.0,9.357142857142858,10.0,0.15384615384615385,8.461538461538462
36,Amila Aponso,Sri Lanka,3,6.66,119,111.0,0,14,0,0.2702702702702703,8.382857142857143,10.0,0.12612612612612611,8.73873873873874
