Player_Name,matches,inns,not_out,runs_scored,HS,batting_ave,ball_faced,batting_SR,100s,50s,fours,six,odi_year
Martin Guptill,198,195,19,7346,237*,41.73,8415,87.29,18,39,750,187,2018-2018
Colin Munro,57,53,2,1271,87,24.92,1214,104.69,0,8,138,36,2018-2018
Kane Williamson,161,153,16,6554,148,47.83,8094,80.97,13,42,594,51,2018-2018
Ross Taylor,236,220,39,8607,181*,47.55,10330,83.32,21,51,713,147,2018-2018
Tom Latham,130,120,14,3762,145*,35.49,4413,85.24,7,21,319,50,2018-2018
Henry Nicholls,66,64,14,1746,124*,34.92,2132,81.89,1,13,161,16,2018-2018
Mitchell Santner,93,70,26,1248,67,28.36,1396,89.39,0,3,94,33,2018-2018
Tim Southee,154,93,35,720,55,12.41,747,96.38,0,1,56,26,2018-2018
Todd Astle,9,5,2,79,49,26.33,77,102.59,0,0,5,2,2018-2018
Azhar Ali,53,53,3,1845,102,36.90,2478,74.45,3,12,168,14,2018-2018
Fakhar Zaman,70,70,5,3148,210*,48.43,3375,93.27,10,15,359,56,2018-2018
Babar Azam,100,98,12,5089,158,59.17,5702,89.24,18,26,458,51,2018-2018
Mohammad Hafeez,218,216,15,6614,140*,32.90,8633,76.61,11,38,664,110,2018-2018
Shoaib Malik,287,258,40,7534,143,34.55,9199,81.90,9,44,603,113,2018-2018
Sarfaraz Ahmed,117,91,22,2315,105,33.55,2635,87.85,2,11,174,12,2018-2018
Shadab Khan,56,33,11,631,86,28.68,769,82.05,0,4,37,14,2018-2018
Faheem Ashraf,31,22,3,218,28,11.47,260,83.84,0,0,18,7,2018-2018
Mohammad Amir,61,30,10,363,73*,18.15,444,81.75,0,2,32,8,2018-2018
Rumman Raees,9,4,1,27,16,9.00,24,112.50,0,0,5,0,2018-2018
Hasan Ali,60,35,11,363,59,15.12,299,121.40,0,2,24,24,2018-2018
Trent Boult,99,45,24,191,21*,9.09,245,77.95,0,0,19,6,2018-2018
Lockie Ferguson,53,25,11,97,19,6.92,197,49.23,0,0,5,1,2018-2018
Imam-ul-Haq,59,59,6,2719,151,51.30,3276,82.99,9,16,216,26,2018-2018
Ashfaq Ahmed,16,16,0,344,92,21.50,387,88.88,0,2,38,9,2018-2018
Rohan Mustafa,81,75,5,1504,109,21.48,2366,63.56,1,7,123,26,2018-2018
Ghulam Shabber,23,23,0,500,90,21.73,800,62.50,0,4,49,3,2018-2018
Rameez Shahzad,26,26,3,936,121*,40.69,1164,80.41,2,5,81,21,2018-2018
Muhammad Usman,38,37,5,1008,102*,31.50,1312,76.82,1,4,89,22,2018-2018
Mohammad Boota,9,9,1,191,59*,23.87,252,75.79,0,1,12,7,2018-2018
Adnan Mufti,18,16,4,330,57*,27.50,409,80.68,0,1,27,1,2018-2018
Mohammad Naveed,39,34,10,397,45,16.54,323,122.91,0,0,40,21,2018-2018
Ahmed Raza,53,41,7,409,50,12.02,674,60.68,0,1,29,8,2018-2018
Zahoor Khan,59,38,16,149,23,6.77,258,57.75,0,0,11,4,2018-2018
Qadeer Ahmed,11,6,4,9,4,4.50,31,29.03,0,0,1,0,2018-2018
William Porterfield,148,145,3,4343,139,30.58,6298,68.95,11,20,455,32,2018-2018
Paul Stirling,154,149,3,5598,177,38.34,6413,87.29,14,28,601,135,2018-2018
Andy Balbirnie,101,97,7,2907,145*,32.30,3878,74.96,8,15,282,35,2018-2018
Ed Joyce,78,77,8,2622,160*,38.00,3630,72.23,6,15,255,25,2018-2018
Niall O'Brien,103,101,9,2581,109,28.05,3638,70.94,1,18,218,30,2018-2018
Kevin O'Brien,153,141,18,3619,142,29.42,4076,88.78,2,18,332,84,2018-2018
Gary Wilson,105,99,12,2072,113,23.81,2880,71.94,1,12,180,21,2018-2018
George Dockrell,117,82,28,1284,91*,23.77,1560,82.30,0,6,101,25,2018-2018
Boyd Rankin,75,34,21,100,18*,7.69,239,41.84,0,0,4,1,2018-2018
Barry McCarthy,42,28,7,171,18,8.14,299,57.19,0,0,14,1,2018-2018
Peter Chase,25,16,6,35,14,3.50,56,62.50,0,0,3,1,2018-2018
Stuart Poynter,21,19,5,185,36,13.21,278,66.54,0,0,15,0,2018-2018
Andy McBrine,82,55,12,822,79,19.11,1163,70.67,0,2,78,13,2018-2018
Aaron Finch,146,142,3,5406,153*,38.89,6162,87.73,17,30,532,129,2018-2018
David Warner,142,140,6,6030,179,45.00,6337,95.15,19,27,639,92,2018-2018
Steven Smith,142,126,15,4939,164,44.49,5643,87.52,12,29,435,47,2018-2018
Travis Head,54,51,4,1912,152,40.68,1975,96.81,3,14,205,34,2018-2018
Mitchell Marsh,72,68,10,2008,102*,34.62,2173,92.40,1,15,173,58,2018-2018
Marcus Stoinis,60,54,7,1326,146*,28.21,1433,92.53,1,6,113,44,2018-2018
Tim Paine,35,35,3,890,111,27.81,1257,70.80,1,5,96,6,2018-2018
Pat Cummins,75,47,15,324,36,10.12,438,73.97,0,0,23,5,2018-2018
Mitchell Starc,110,62,23,483,52*,12.38,566,85.33,0,1,35,13,2018-2018
Andrew Tye,7,7,3,57,19,14.25,48,118.75,0,0,5,2,2018-2018
Jason Roy,116,110,3,4271,180,39.91,4047,105.53,12,21,511,81,2018-2018
Jonny Bairstow,95,86,8,3634,141*,46.58,3490,104.12,11,15,408,89,2018-2018
Alex Hales,70,67,3,2419,171,37.79,2527,95.72,6,14,276,50,2018-2018
Joe Root,158,147,23,6207,133*,50.05,7140,86.93,16,36,496,46,2018-2018
Eoin Morgan,248,230,34,7701,148,39.29,8447,91.16,14,47,654,220,2018-2018
Jos Buttler,165,138,26,4647,162*,41.49,3939,117.97,11,24,374,158,2018-2018
Moeen Ali,129,103,15,2212,128,25.13,2224,99.46,3,6,190,76,2018-2018
