BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,Match_id,team,odi_year
Mohammad Amir,9,2,57,1,6.33,28,8,0,1,0,ODI # 3946,Pakistan,2018-2018
Rumman Raees,10,0,68,1,6.80,23,3,2,2,0,ODI # 3946,Pakistan,2018-2018
Hasan Ali,10,0,61,3,6.10,26,5,1,0,0,ODI # 3946,Pakistan,2018-2018
Shadab Khan,9,0,49,0,5.44,21,2,1,1,0,ODI # 3946,Pakistan,2018-2018
Faheem Ashraf,9,0,58,1,6.44,25,7,0,2,0,ODI # 3946,Pakistan,2018-2018
Fakhar Zaman,3,0,19,1,6.33,5,0,1,0,0,ODI # 3946,Pakistan,2018-2018
Tim Southee,6.1,0,22,3,3.56,27,3,0,2,0,ODI # 3946,New Zealand,2018-2018
Trent Boult,6,1,35,2,5.83,24,7,0,2,0,ODI # 3946,New Zealand,2018-2018
Lockie Ferguson,7,0,40,0,5.71,18,2,1,3,0,ODI # 3946,New Zealand,2018-2018
Mitchell Santner,6,1,39,0,6.50,22,2,3,3,0,ODI # 3946,New Zealand,2018-2018
Todd Astle,5,0,29,1,5.80,14,2,1,0,0,ODI # 3946,New Zealand,2018-2018
Tim Southee,10,1,57,2,5.70,41,6,2,3,0,ODI # 3947,New Zealand,2018-2018
Trent Boult,10,0,54,1,5.40,28,6,0,0,1,ODI # 3947,New Zealand,2018-2018
Mitchell Santner,10,1,34,1,3.40,41,0,3,0,0,ODI # 3947,New Zealand,2018-2018
Lockie Ferguson,10,0,39,3,3.90,40,4,0,4,0,ODI # 3947,New Zealand,2018-2018
Todd Astle,7,0,50,2,7.14,20,5,2,1,0,ODI # 3947,New Zealand,2018-2018
Colin Munro,3,0,11,0,3.66,8,0,0,0,0,ODI # 3947,New Zealand,2018-2018
Mohammad Amir,5,1,18,1,3.60,21,1,0,0,0,ODI # 3947,Pakistan,2018-2018
Rumman Raees,4.5,0,37,0,7.65,13,5,0,0,1,ODI # 3947,Pakistan,2018-2018
Faheem Ashraf,5,0,30,1,6.00,11,3,0,0,0,ODI # 3947,Pakistan,2018-2018
Hasan Ali,5,0,37,0,7.40,14,1,3,0,0,ODI # 3947,Pakistan,2018-2018
Shadab Khan,4,0,29,0,7.25,10,1,2,0,0,ODI # 3947,Pakistan,2018-2018
Boyd Rankin,10,3,26,2,2.60,49,3,0,4,0,ODI # 3948,Ireland,2018-2018
Barry McCarthy,10,1,47,2,4.70,36,7,0,0,0,ODI # 3948,Ireland,2018-2018
Peter Chase,10,1,50,2,5.00,40,6,1,5,0,ODI # 3948,Ireland,2018-2018
Kevin O'Brien,10,1,39,2,3.90,40,4,0,1,0,ODI # 3948,Ireland,2018-2018
George Dockrell,10,0,51,1,5.10,31,5,1,0,0,ODI # 3948,Ireland,2018-2018
Mohammad Naveed,9,1,45,2,5.00,33,4,0,4,1,ODI # 3948,United Arab Emirates,2018-2018
Qadeer Ahmed,10,0,48,0,4.80,35,6,0,0,3,ODI # 3948,United Arab Emirates,2018-2018
Rohan Mustafa,10,2,32,1,3.20,37,2,0,0,0,ODI # 3948,United Arab Emirates,2018-2018
Zahoor Khan,10,1,44,1,4.40,36,4,1,2,0,ODI # 3948,United Arab Emirates,2018-2018
Ahmed Raza,10,0,49,2,4.90,30,4,0,2,0,ODI # 3948,United Arab Emirates,2018-2018
Ashfaq Ahmed,0.2,0,4,0,12.00,-,-,-,0,0,ODI # 3948,United Arab Emirates,2018-2018
Mohammad Amir,8,1,34,0,4.25,31,2,1,2,1,ODI # 3949,Pakistan,2018-2018
Faheem Ashraf,6,1,29,1,4.83,24,3,1,0,0,ODI # 3949,Pakistan,2018-2018
Rumman Raees,10,0,51,3,5.10,32,5,0,1,1,ODI # 3949,Pakistan,2018-2018
Hasan Ali,10,0,59,3,5.90,28,7,0,1,0,ODI # 3949,Pakistan,2018-2018
Shadab Khan,10,0,51,2,5.10,22,3,0,0,0,ODI # 3949,Pakistan,2018-2018
Shoaib Malik,6,0,31,0,5.16,11,2,0,0,0,ODI # 3949,Pakistan,2018-2018
Tim Southee,7,3,19,0,2.71,33,3,0,1,0,ODI # 3949,New Zealand,2018-2018
Trent Boult,7.2,1,17,5,2.31,35,2,0,1,0,ODI # 3949,New Zealand,2018-2018
Colin Munro,7,1,10,2,1.42,32,0,0,0,0,ODI # 3949,New Zealand,2018-2018
Lockie Ferguson,6,0,28,2,4.66,24,2,1,3,0,ODI # 3949,New Zealand,2018-2018
Mohammad Naveed,8,0,51,1,6.37,26,6,1,0,0,ODI # 3950,United Arab Emirates,2018-2018
Qadeer Ahmed,10,0,75,1,7.50,30,6,2,1,4,ODI # 3950,United Arab Emirates,2018-2018
Zahoor Khan,10,1,51,1,5.10,32,4,1,1,0,ODI # 3950,United Arab Emirates,2018-2018
Ahmed Raza,10,0,44,0,4.40,33,4,0,1,0,ODI # 3950,United Arab Emirates,2018-2018
Rohan Mustafa,10,0,65,2,6.50,28,9,0,1,0,ODI # 3950,United Arab Emirates,2018-2018
Ashfaq Ahmed,2,0,11,0,5.50,-,-,-,0,0,ODI # 3950,United Arab Emirates,2018-2018
Kevin O'Brien,10,0,41,4,4.10,41,3,1,4,0,ODI # 3950,Ireland,2018-2018
Barry McCarthy,9.4,0,49,2,5.06,34,7,0,1,0,ODI # 3950,Ireland,2018-2018
Peter Chase,8,0,33,1,4.12,34,3,1,3,0,ODI # 3950,Ireland,2018-2018
