Player_Name,matches,inns,balls,runs,wkts,BBI,bowling_ave,Econ,bowling_SR,5W,10W,balls_bowled,runs_against,odi_year
Martin Guptill,198,11,,,4,2/6,24.50,5.39,27.2,0,0,109,98,2018-2018
Colin Munro,57,25,,,7,2/10,68.71,5.22,78.8,0,0,552,481,2018-2018
Kane Williamson,161,65,,,37,4/22,35.40,5.35,39.6,0,0,1467,1310,2018-2018
Ross Taylor,236,4,,,0,-,-,5.00,-,0,0,42,35,2018-2018
Tom Latham,130,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Henry Nicholls,66,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Mitchell Santner,93,88,,,90,5/50,38.58,4.87,47.5,1,0,4277,3473,2018-2018
Tim Southee,154,152,,,210,7/33,33.46,5.43,36.9,3,0,7751,7027,2018-2018
Todd Astle,9,8,,,10,3/33,24.60,5.46,27.0,0,0,270,246,2018-2018
Azhar Ali,53,14,,,4,2/26,65.00,6.04,64.5,0,0,258,260,2018-2018
Fakhar Zaman,70,7,,,1,1/19,111.00,4.93,135.0,0,0,135,111,2018-2018
Babar Azam,100,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Mohammad Hafeez,218,177,,,139,4/41,38.84,4.18,55.6,0,0,7733,5400,2018-2018
Shoaib Malik,287,217,,,158,4/19,39.18,4.66,50.3,0,0,7958,6192,2018-2018
Sarfaraz Ahmed,117,1,,,0,-,-,7.50,-,0,0,12,15,2018-2018
Shadab Khan,56,54,,,73,4/28,32.64,5.13,38.1,0,0,2784,2383,2018-2018
Faheem Ashraf,31,30,,,23,5/22,46.08,5.11,54.0,1,0,1244,1060,2018-2018
Mohammad Amir,61,60,,,81,5/30,29.62,4.77,37.1,1,0,3013,2400,2018-2018
Rumman Raees,9,9,,,14,3/49,33.14,6.01,33.0,0,0,463,464,2018-2018
Hasan Ali,60,58,,,91,5/34,30.36,5.75,31.6,4,0,2882,2763,2018-2018
Trent Boult,99,99,,,187,7/34,23.97,4.93,29.1,5,0,5453,4484,2018-2018
Lockie Ferguson,53,53,,,85,5/45,31.04,5.66,32.8,1,0,2795,2639,2018-2018
Imam-ul-Haq,59,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Ashfaq Ahmed,16,7,,,4,2/55,46.25,4.97,55.7,0,0,223,185,2018-2018
Rohan Mustafa,81,80,,,85,5/25,33.30,4.48,44.5,1,0,3787,2831,2018-2018
Ghulam Shabber,23,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Rameez Shahzad,26,2,,,0,-,-,6.60,-,0,0,30,33,2018-2018
Muhammad Usman,38,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Mohammad Boota,9,1,,,0,-,-,5.00,-,0,0,12,10,2018-2018
Adnan Mufti,18,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Mohammad Naveed,39,39,,,53,5/28,33.15,5.43,36.5,1,0,1938,1757,2018-2018
Ahmed Raza,53,53,,,64,5/26,30.06,4.12,43.7,1,0,2801,1924,2018-2018
Zahoor Khan,59,59,,,89,6/34,25.96,5.04,30.8,1,0,2750,2311,2018-2018
Qadeer Ahmed,11,11,,,8,2/38,58.37,5.43,64.5,0,0,516,467,2018-2018
William Porterfield,148,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Paul Stirling,154,76,,,43,6/55,45.16,4.77,56.7,1,0,2441,1942,2018-2018
Andy Balbirnie,101,3,,,2,1/26,34.00,6.80,30.0,0,0,60,68,2018-2018
Ed Joyce,78,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Niall O'Brien,103,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Kevin O'Brien,153,116,,,114,4/13,32.68,5.20,37.6,0,0,4296,3726,2018-2018
Gary Wilson,105,-,,,-,-,-,-,-,-,-,-,-,2018-2018
George Dockrell,117,102,,,103,4/24,36.79,4.83,45.6,0,0,4706,3790,2018-2018
Boyd Rankin,75,73,,,106,4/15,27.87,4.78,34.9,0,0,3702,2955,2018-2018
Barry McCarthy,42,42,,,69,5/46,29.18,5.74,30.4,1,0,2104,2014,2018-2018
Peter Chase,25,24,,,34,3/33,39.88,6.57,36.4,0,0,1238,1356,2018-2018
Stuart Poynter,21,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Andy McBrine,82,77,,,84,5/29,34.70,4.52,45.9,1,0,3863,2915,2018-2018
Aaron Finch,146,21,,,4,1/2,64.75,5.47,71.0,0,0,284,259,2018-2018
David Warner,142,1,,,0,-,-,8.00,-,0,0,6,8,2018-2018
Steven Smith,142,40,,,28,3/16,34.67,5.41,38.4,0,0,1076,971,2018-2018
Travis Head,54,30,,,14,2/22,58.42,5.82,60.2,0,0,843,818,2018-2018
Mitchell Marsh,72,64,,,54,5/33,35.42,5.43,39.0,1,0,2111,1913,2018-2018
Marcus Stoinis,60,53,,,40,3/16,42.92,5.87,43.8,0,0,1753,1717,2018-2018
Tim Paine,35,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Pat Cummins,75,75,,,124,5/70,27.61,5.21,31.7,1,0,3938,3424,2018-2018
Mitchell Starc,110,110,,,219,6/28,22.09,5.11,25.9,9,0,5676,4839,2018-2018
Andrew Tye,7,7,,,12,5/46,32.66,6.07,32.2,1,0,387,392,2018-2018
Jason Roy,116,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Jonny Bairstow,95,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Alex Hales,70,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Joe Root,158,69,,,26,3/52,57.50,5.77,59.7,0,0,1553,1495,2018-2018
Eoin Morgan,248,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Jos Buttler,165,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Moeen Ali,129,119,,,99,4/46,49.89,5.28,56.6,0,0,5606,4940,2018-2018
Chris Woakes,112,108,,,160,6/45,30.23,5.45,33.2,3,0,5317,4837,2018-2018
Mark Wood,59,58,,,71,4/33,37.88,5.42,41.9,0,0,2975,2690,2018-2018
Liam Plunkett,89,87,,,135,5/52,29.70,5.81,30.6,1,0,4137,4010,2018-2018
Adil Rashid,125,119,,,183,5/27,32.20,5.64,34.2,2,0,6263,5894,2018-2018
Adam Zampa,79,79,,,131,5/35,28.46,5.42,31.4,1,0,4122,3729,2018-2018
Hamilton Masakadza,209,85,,,39,3/39,41.94,5.32,47.2,0,0,1844,1636,2018-2018
Solomon Mire,47,19,,,12,4/43,42.91,6.09,42.2,0,0,507,515,2018-2018
Craig Ervine,116,-,,,-,-,-,-,-,-,-,-,-,2018-2018
Brendan Taylor,205,21,,,9,3/54,45.11,6.15,44.0,0,0,396,406,2018-2018
