Player_Name,matches,catches,stumps,odi_year
Martin Guptill,198,104,0,2018-2018
Colin Munro,57,22,0,2018-2018
Kane Williamson,161,64,0,2018-2018
Ross Taylor,236,142,0,2018-2018
Tom Latham,130,111,15,2018-2018
Henry Nicholls,66,24,0,2018-2018
Mitchell Santner,93,37,0,2018-2018
Tim Southee,154,43,0,2018-2018
Todd Astle,9,2,0,2018-2018
Azhar Ali,53,8,0,2018-2018
Fakhar Zaman,70,33,0,2018-2018
Babar Azam,100,45,0,2018-2018
Mohammad Hafeez,218,85,0,2018-2018
Shoaib Malik,287,98,0,2018-2018
Sarfaraz Ahmed,117,119,24,2018-2018
Shadab Khan,56,14,0,2018-2018
Faheem Ashraf,31,8,0,2018-2018
Mohammad Amir,61,8,0,2018-2018
Rumman Raees,9,2,0,2018-2018
Hasan Ali,60,13,0,2018-2018
Trent Boult,99,37,0,2018-2018
Lockie Ferguson,53,12,0,2018-2018
Imam-ul-Haq,59,10,0,2018-2018
Ashfaq Ahmed,16,6,0,2018-2018
Rohan Mustafa,81,35,0,2018-2018
Ghulam Shabber,23,30,2,2018-2018
Rameez Shahzad,26,6,0,2018-2018
Muhammad Usman,38,11,0,2018-2018
Mohammad Boota,9,0,1,2018-2018
Adnan Mufti,18,4,0,2018-2018
Mohammad Naveed,39,6,0,2018-2018
Ahmed Raza,53,25,0,2018-2018
Zahoor Khan,59,13,0,2018-2018
Qadeer Ahmed,11,1,0,2018-2018
William Porterfield,148,68,0,2018-2018
Paul Stirling,154,57,0,2018-2018
Andy Balbirnie,101,32,0,2018-2018
Ed Joyce,78,27,0,2018-2018
Niall O'Brien,103,90,14,2018-2018
Kevin O'Brien,153,67,0,2018-2018
Gary Wilson,105,73,10,2018-2018
George Dockrell,117,43,0,2018-2018
Boyd Rankin,75,17,0,2018-2018
Barry McCarthy,42,12,0,2018-2018
Peter Chase,25,5,0,2018-2018
Stuart Poynter,21,22,1,2018-2018
Andy McBrine,82,32,0,2018-2018
Aaron Finch,146,71,0,2018-2018
David Warner,142,62,0,2018-2018
Steven Smith,142,81,0,2018-2018
Travis Head,54,14,0,2018-2018
Mitchell Marsh,72,31,0,2018-2018
Marcus Stoinis,60,15,0,2018-2018
Tim Paine,35,51,4,2018-2018
Pat Cummins,75,19,0,2018-2018
Mitchell Starc,110,38,0,2018-2018
Andrew Tye,7,1,0,2018-2018
Jason Roy,116,46,0,2018-2018
Jonny Bairstow,95,48,3,2018-2018
Alex Hales,70,27,0,2018-2018
Joe Root,158,78,0,2018-2018
Eoin Morgan,248,87,0,2018-2018
Jos Buttler,165,204,34,2018-2018
Moeen Ali,129,42,0,2018-2018
Chris Woakes,112,47,0,2018-2018
Mark Wood,59,13,0,2018-2018
Liam Plunkett,89,26,0,2018-2018
Adil Rashid,125,40,0,2018-2018
Adam Zampa,79,16,0,2018-2018
Hamilton Masakadza,209,71,0,2018-2018
Solomon Mire,47,12,0,2018-2018
Craig Ervine,116,54,0,2018-2018
Brendan Taylor,205,133,29,2018-2018
Sikandar Raza,136,54,0,2018-2018
Malcolm Waller,79,22,0,2018-2018
Peter Moor,49,22,1,2018-2018
Graeme Cremer,96,37,0,2018-2018
Kyle Jarvis,49,11,0,2018-2018
Tendai Chatara,87,8,0,2018-2018
Blessing Muzarabani,42,13,0,2018-2018
Tamim Iqbal,241,68,0,2018-2018
Anamul Haque,44,12,0,2018-2018
Shakib Al Hasan,235,56,0,2018-2018
Mushfiqur Rahim,251,217,54,2018-2018
Sunzamul Islam,3,0,0,2018-2018
Mashrafe Mortaza,220,62,0,2018-2018
Mustafizur Rahman,89,15,0,2018-2018
Rubel Hossain,104,20,0,2018-2018
Nasir Hossain,65,34,0,2018-2018
Haris Sohail,45,17,0,2018-2018
Colin de Grandhomme,45,17,0,2018-2018
George Munsey,53,26,0,2018-2018
Michael Jones,12,4,0,2018-2018
Matthew Cross,90,118,7,2018-2018
Richie Berrington,112,38,0,2018-2018
Calum MacLeod,88,53,0,2018-2018
Safyaan Sharif,77,20,0,2018-2018
Craig Wallace,32,17,2,2018-2018
Tom Sole,10,7,0,2018-2018
Mark Watt,61,16,0,2018-2018
Alasdair Evans,42,9,0,2018-2018
Stuart Whittingham,5,3,0,2018-2018
Kusal Perera,107,47,3,2018-2018
Upul Tharanga,235,50,0,2018-2018
Kusal Mendis,106,67,3,2018-2018
Angelo Mathews,221,53,0,2018-2018
Dinesh Chandimal,157,62,8,2018-2018
Asela Gunaratne,31,10,0,2018-2018
Thisara Perera,166,62,0,2018-2018
Wanindu Hasaranga,48,15,0,2018-2018
Akila Dananjaya,39,14,0,2018-2018
Suranga Lakmal,86,20,0,2018-2018
Dushmantha Chameera,44,7,0,2018-2018
Simi Singh,35,13,0,2018-2018
Michael Leask,69,30,0,2018-2018
Scott Cameron,2,1,0,2018-2018
Umar Amin,16,6,0,2018-2018
Aamer Yamin,4,0,0,2018-2018
Mohammad Nawaz,28,12,0,2018-2018
Matt Henry,72,23,0,2018-2018
Cameron White,91,37,0,2018-2018
Alex Carey,64,73,8,2018-2018
Jhye Richardson,15,5,0,2018-2018
Mahmudullah,218,76,0,2018-2018
Sabbir Rahman,66,37,0,2018-2018
Mohammad Saifuddin,29,4,0,2018-2018
Niroshan Dickwella,55,41,11,2018-2018
Nuwan Pradeep,49,7,0,2018-2018
Josh Hazlewood,69,22,0,2018-2018
Kyle Coetzer,89,26,0,2018-2018
