,Unnamed: 0,BOWLING,team,W,ECON,R,balls_balled,extras,boundaries,M,normalized_W,normalized_ECON,normalized_extras,boundary_percentage,normalized_boundary_perc
13,13,Adam Zampa,Australia,91,5.42,2485,2798.0,30,216,7,8.2,5.44,7.32,0.08,7.53
15,15,Adil Rashid,England,104,5.8,3354,3511.0,49,299,6,9.37,4.16,5.62,0.09,6.72
18,18,Aftab Alam,Afghanistan,25,4.6,565,711.0,15,61,9,2.25,8.27,8.66,0.09,6.66
21,21,Aiden Markram,South Africa,14,6.2,563,606.0,13,50,0,1.26,2.78,8.84,0.08,6.99
28,28,Akila Dananjaya,Sri Lanka,37,5.35,1036,1202.0,23,101,1,3.33,5.69,7.95,0.08,6.84
39,39,Andile Phehlukwayo,South Africa,63,6.11,1913,1989.0,108,195,8,5.68,3.08,0.36,0.1,5.42
42,42,Andrew Tye,Australia,12,6.11,392,387.0,13,42,1,1.08,3.09,8.84,0.11,4.36
46,46,Anrich Nortje,South Africa,36,5.64,924,976.0,17,117,4,3.24,4.7,8.48,0.12,3.21
51,51,Aryan Dutt,Netherlands,20,5.41,965,1118.0,4,101,11,1.8,5.51,9.64,0.09,6.2
59,59,Ashton Agar,Australia,16,5.12,736,864.0,6,64,4,1.44,6.47,9.46,0.07,7.85
65,65,Axar Patel,India,13,5.04,413,507.0,2,43,5,1.17,6.74,9.82,0.08,6.76
70,70,Bas de Leede,Netherlands,24,6.23,770,777.0,45,89,2,2.16,2.67,5.98,0.11,3.75
77,77,Ben Stokes,England,21,5.91,1099,1109.0,37,108,3,1.89,3.8,6.7,0.1,5.48
83,83,Bhuvneshwar Kumar,India,53,5.36,1693,1877.0,51,198,12,4.77,5.67,5.45,0.11,4.66
89,89,Blair Tickner,New Zealand,16,6.45,679,623.0,26,91,4,1.44,1.94,7.68,0.15,0.55
98,98,Brydon Carse,England,12,5.88,382,406.0,12,39,0,1.08,3.88,8.93,0.1,5.62
100,100,Cameron Green,Australia,11,5.18,377,450.0,10,43,0,0.99,6.29,9.11,0.1,5.67
107,107,Chamika Karunaratne,Sri Lanka,24,5.6,692,725.0,32,71,3,2.16,4.84,7.14,0.1,5.43
119,119,Chris Morris,South Africa,15,5.52,550,592.0,12,69,5,1.35,5.11,8.93,0.12,3.54
122,122,Chris Woakes,England,64,5.45,1812,2029.0,37,226,20,5.77,5.36,6.7,0.11,4.07
130,130,Colin de Grandhomme,New Zealand,22,5.04,843,1134.0,33,86,9,1.98,6.76,7.05,0.08,7.67
136,136,Dale Steyn,South Africa,16,4.09,294,435.0,8,32,3,1.44,10.0,9.29,0.07,7.9
143,143,Daryl Mitchell,New Zealand,11,5.81,213,228.0,8,24,1,0.99,4.11,9.29,0.11,4.69
145,145,Dasun Shanaka,Sri Lanka,17,6.02,659,696.0,22,70,3,1.53,3.41,8.04,0.1,5.16
148,148,David Willey,England,46,5.29,1346,1488.0,54,157,13,4.14,5.91,5.18,0.11,4.66
