,Team_1,Team_2,Winner,Margin,Ground,Match_Date,Match_id,odi_year
0,New Zealand,Pakistan,New Zealand,61 runs,Wellington,6-Jan-18,ODI # 3946,2018-2018
1,New Zealand,Pakistan,New Zealand,8 wickets,Nelson,9-Jan-18,ODI # 3947,2018-2018
2,U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,11-Jan-18,ODI # 3948,2018-2018
3,New Zealand,Pakistan,New Zealand,183 runs,Dunedin,13-Jan-18,ODI # 3949,2018-2018
4,U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,13-Jan-18,ODI # 3950,2018-2018
5,Australia,England,England,5 wickets,Melbourne,14-Jan-18,ODI # 3951,2018-2018
6,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,15-Jan-18,ODI # 3952,2018-2018
7,New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,16-Jan-18,ODI # 3953,2018-2018
8,Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,16-Jan-18,ODI # 3954,2018-2018
9,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,17-Jan-18,ODI # 3955,2018-2018
10,Ireland,Scotland,Ireland,24 runs,ICCA Dubai,18-Jan-18,ODI # 3956,2018-2018
11,New Zealand,Pakistan,New Zealand,15 runs,Wellington,19-Jan-18,ODI # 3957,2018-2018
12,Australia,England,England,4 wickets,Brisbane,19-Jan-18,ODI # 3958,2018-2018
13,Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,19-Jan-18,ODI # 3959,2018-2018
14,Australia,England,England,16 runs,Sydney,21-Jan-18,ODI # 3960,2018-2018
15,U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,21-Jan-18,ODI # 3961,2018-2018
16,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,21-Jan-18,ODI # 3962,2018-2018
17,U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,23-Jan-18,ODI # 3963,2018-2018
18,Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,23-Jan-18,ODI # 3964,2018-2018
19,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,25-Jan-18,ODI # 3965,2018-2018
20,Australia,England,Australia,3 wickets,Adelaide,26-Jan-18,ODI # 3966,2018-2018
21,Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,27-Jan-18,ODI # 3967,2018-2018
22,Australia,England,England,12 runs,Perth,28-Jan-18,ODI # 3968,2018-2018
23,South Africa,India,India,6 wickets,Durban,1-Feb-18,ODI # 3969,2018-2018
24,South Africa,India,India,9 wickets,Centurion,4-Feb-18,ODI # 3970,2018-2018
25,South Africa,India,India,124 runs,Cape Town,7-Feb-18,ODI # 3971,2018-2018
26,Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,9-Feb-18,ODI # 3972,2018-2018
27,South Africa,India,South Africa,5 wickets,Johannesburg,10-Feb-18,ODI # 3973,2018-2018
28,Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,11-Feb-18,ODI # 3974,2018-2018
29,Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah,13-Feb-18,ODI # 3975,2018-2018
30,South Africa,India,India,73 runs,Gqeberha,13-Feb-18,ODI # 3976,2018-2018
31,Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah,16-Feb-18,ODI # 3977,2018-2018
32,South Africa,India,India,8 wickets,Centurion,16-Feb-18,ODI # 3978,2018-2018
33,Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah,19-Feb-18,ODI # 3979,2018-2018
34,New Zealand,England,New Zealand,3 wickets,Hamilton,25-Feb-18,ODI # 3980,2018-2018
35,New Zealand,England,England,6 wickets,Mount Maunganui,28-Feb-18,ODI # 3981,2018-2018
36,New Zealand,England,England,4 runs,Wellington,3-Mar-18,ODI # 3982,2018-2018
37,Afghanistan,Scotland,Scotland,7 wickets,Bulawayo,4-Mar-18,ODI # 3983,2018-2018
38,P.N.G.,U.A.E.,U.A.E.,56 runs,Harare,4-Mar-18,ODI # 3984,2018-2018
39,Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,6-Mar-18,ODI # 3985,2018-2018
40,Ireland,P.N.G.,Ireland,4 wickets,Harare,6-Mar-18,ODI # 3986,2018-2018
41,U.A.E.,West Indies,West Indies,60 runs,Harare,6-Mar-18,ODI # 3987,2018-2018
42,Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo,6-Mar-18,ODI # 3988,2018-2018
43,New Zealand,England,New Zealand,5 wickets,Dunedin,7-Mar-18,ODI # 3989,2018-2018
44,Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo,8-Mar-18,ODI # 3990,2018-2018
45,P.N.G.,West Indies,West Indies,6 wickets,Harare,8-Mar-18,ODI # 3991,2018-2018
46,New Zealand,England,England,7 wickets,Christchurch,10-Mar-18,ODI # 3992,2018-2018
47,Ireland,West Indies,West Indies,52 runs,Harare,10-Mar-18,ODI # 3993,2018-2018
48,Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo,10-Mar-18,ODI # 3994,2018-2018
49,Ireland,U.A.E.,Ireland,226 runs,Harare,12-Mar-18,ODI # 3995,2018-2018
50,Zimbabwe,Scotland,tied,-,Bulawayo,12-Mar-18,ODI # 3996,2018-2018
51,Afghanistan,West Indies,Afghanistan,3 wickets,Harare,15-Mar-18,ODI # 3997,2018-2018
52,Scotland,U.A.E.,Scotland,73 runs,Bulawayo,15-Mar-18,ODI # 3998,2018-2018
53,Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,16-Mar-18,ODI # 3999,2018-2018
54,Hong Kong,P.N.G.,P.N.G.,58 runs,Harare,17-Mar-18,ODI # 4000,2018-2018
55,Ireland,Scotland,Ireland,25 runs,Harare,18-Mar-18,ODI # 4001,2018-2018
56,Zimbabwe,West Indies,West Indies,4 wickets,Harare,19-Mar-18,ODI # 4002,2018-2018
57,Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare,20-Mar-18,ODI # 4003,2018-2018
58,Scotland,West Indies,West Indies,5 runs,Harare,21-Mar-18,ODI # 4004,2018-2018
59,Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare,22-Mar-18,ODI # 4005,2018-2018
60,Afghanistan,Ireland,Afghanistan,5 wickets,Harare,23-Mar-18,ODI # 4006,2018-2018
61,Afghanistan,West Indies,Afghanistan,7 wickets,Harare,25-Mar-18,ODI # 4007,2018-2018
62,Scotland,England,Scotland,6 runs,Edinburgh,10-Jun-18,ODI # 4008,2018-2018
63,England,Australia,England,3 wickets,The Oval,13-Jun-18,ODI # 4009,2018-2018
64,England,Australia,England,38 runs,Cardiff,16-Jun-18,ODI # 4010,2018-2018
65,England,Australia,England,242 runs,Nottingham,19-Jun-18,ODI # 4011,2018-2018
66,England,Australia,England,6 wickets,Chester-le-Street,21-Jun-18,ODI # 4012,2018-2018
67,England,Australia,England,1 wicket,Manchester,24-Jun-18,ODI # 4013,2018-2018
68,England,India,India,8 wickets,Nottingham,12-Jul-18,ODI # 4014,2018-2018
69,Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo,13-Jul-18,ODI # 4015,2018-2018
70,England,India,England,86 runs,Lord's,14-Jul-18,ODI # 4016,2018-2018
71,Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,16-Jul-18,ODI # 4017,2018-2018
72,England,India,England,8 wickets,Leeds,17-Jul-18,ODI # 4018,2018-2018
