Ground_link,Team_1_link,Team_2_link,match_link,odi_year
/ci/content/ground/58895.html,/team/new-zealand-5,/team/pakistan-7,/series/pak-in-nz-2017-18-1115789/new-zealand-vs-pakistan-1st-odi-1115802/full-scorecard,2018-2018
/ci/content/ground/424917.html,/team/new-zealand-5,/team/pakistan-7,/series/pak-in-nz-2017-18-1115789/new-zealand-vs-pakistan-2nd-odi-1115803/full-scorecard,2018-2018
/ci/content/ground/481147.html,/team/united-arab-emirates-27,/team/ireland-29,/series/uae-tri-series-2017-18-1131269/united-arab-emirates-vs-ireland-1st-match-1131274/full-scorecard,2018-2018
/ci/content/ground/58827.html,/team/new-zealand-5,/team/pakistan-7,/series/pak-in-nz-2017-18-1115789/new-zealand-vs-pakistan-3rd-odi-1115804/full-scorecard,2018-2018
/ci/content/ground/481147.html,/team/united-arab-emirates-27,/team/ireland-29,/series/uae-tri-series-2017-18-1131269/united-arab-emirates-vs-ireland-2nd-match-1131275/full-scorecard,2018-2018
/ci/content/ground/56441.html,/team/australia-2,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/australia-vs-england-1st-odi-1072310/full-scorecard,2018-2018
/ci/content/ground/236761.html,/team/bangladesh-25,/team/zimbabwe-9,/series/bangladesh-tri-nation-series-2017-18-1130730/bangladesh-vs-zimbabwe-1st-match-1130737/full-scorecard,2018-2018
/ci/content/ground/58831.html,/team/new-zealand-5,/team/pakistan-7,/series/pak-in-nz-2017-18-1115789/new-zealand-vs-pakistan-4th-odi-1115805/full-scorecard,2018-2018
/ci/content/ground/481147.html,/team/ireland-29,/team/scotland-30,/series/uae-tri-series-2017-18-1131269/ireland-vs-scotland-3rd-match-1131276/full-scorecard,2018-2018
/ci/content/ground/236761.html,/team/sri-lanka-8,/team/zimbabwe-9,/series/bangladesh-tri-nation-series-2017-18-1130730/sri-lanka-vs-zimbabwe-2nd-match-1130738/full-scorecard,2018-2018
/ci/content/ground/481147.html,/team/ireland-29,/team/scotland-30,/series/uae-tri-series-2017-18-1131269/ireland-vs-scotland-4th-match-1131277/full-scorecard,2018-2018
/ci/content/ground/58895.html,/team/new-zealand-5,/team/pakistan-7,/series/pak-in-nz-2017-18-1115789/new-zealand-vs-pakistan-5th-odi-1115806/full-scorecard,2018-2018
/ci/content/ground/56336.html,/team/australia-2,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/australia-vs-england-2nd-odi-1072311/full-scorecard,2018-2018
/ci/content/ground/236761.html,/team/bangladesh-25,/team/sri-lanka-8,/series/bangladesh-tri-nation-series-2017-18-1130730/bangladesh-vs-sri-lanka-3rd-match-1130739/full-scorecard,2018-2018
/ci/content/ground/56544.html,/team/australia-2,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/australia-vs-england-3rd-odi-1072312/full-scorecard,2018-2018
/ci/content/ground/481147.html,/team/united-arab-emirates-27,/team/scotland-30,/series/uae-tri-series-2017-18-1131269/united-arab-emirates-vs-scotland-5th-match-1131278/full-scorecard,2018-2018
/ci/content/ground/236761.html,/team/sri-lanka-8,/team/zimbabwe-9,/series/bangladesh-tri-nation-series-2017-18-1130730/sri-lanka-vs-zimbabwe-4th-match-1130740/full-scorecard,2018-2018
/ci/content/ground/481147.html,/team/united-arab-emirates-27,/team/scotland-30,/series/uae-tri-series-2017-18-1131269/united-arab-emirates-vs-scotland-6th-match-1131279/full-scorecard,2018-2018
/ci/content/ground/236761.html,/team/bangladesh-25,/team/zimbabwe-9,/series/bangladesh-tri-nation-series-2017-18-1130730/bangladesh-vs-zimbabwe-5th-match-1130741/full-scorecard,2018-2018
/ci/content/ground/236761.html,/team/bangladesh-25,/team/sri-lanka-8,/series/bangladesh-tri-nation-series-2017-18-1130730/bangladesh-vs-sri-lanka-6th-match-1130742/full-scorecard,2018-2018
