,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest
0,Martin Guptill,"September 30, 1986, Auckland",36y 308d,Right hand Bat,Right arm Offbreak,Opening Batter,New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Martin_Guptill_2_%28cropped%29.jpg/220px-Martin_Guptill_2_%28cropped%29.jpg,2009,2022
1,Colin Munro,"March 11, 1987, Durban",36y 146d,Left hand Bat,Right arm Medium fast,Opening Batter,New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Colin_Munro_with_the_Sydney_Sixers.jpg/220px-Colin_Munro_with_the_Sydney_Sixers.jpg,2012,2020
2,Kane Williamson,"August 08, 1990, Tauranga",32y 361d,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Kane_Williamson_in_2019.jpg/220px-Kane_Williamson_in_2019.jpg,2010,2023
3,Ross Taylor,"March 08, 1984, Lower Hutt, Wellington",39y 149d,Right hand Bat,Right arm Offbreak,Middle order Batter,New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Ross_Taylor_CNZM_%28cropped%29.jpg/220px-Ross_Taylor_CNZM_%28cropped%29.jpg,2006,2022
4,Tom Latham,"April 02, 1992, Christchurch, Canterbury",31y 124d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand,,2012,2023
5,Henry Nicholls,"November 15, 1991, Christchurch",31y 262d,Left hand Bat,Right arm Offbreak,Top order Batter,New Zealand,,2015,2023
6,Mitchell Santner,"February 05, 1992, Hamilton",31y 180d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,New Zealand,,2015,2023
7,Tim Southee,"December 11, 1988, Whangarei, Northland",34y 236d,Right hand Bat,Right arm Medium fast,Bowler,New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tim_Southee.jpg/220px-Tim_Southee.jpg,2008,2023
8,Todd Astle,"September 24, 1986, Palmerston North, New Zealand",36y 314d,Right hand Bat,Legbreak,Bowler,New Zealand,,2012,2021
9,Azhar Ali,"February 19, 1985, Lahore, Punjab",38y 166d,Right hand Bat,Legbreak,Top order Batter,Pakistan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Azhar_Ali.png/220px-Azhar_Ali.png,2010,2022
