,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,100s,50s,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,5w_haul,balls_bowled,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,50_%,100_%,bowling_average,bowling_strikerate,Rank,Combined_Rank,Player_name,Player_link
0,982.0,907.0,83.0,30.0,100.27676470588234,0.0,5.0,34.0,Hardik Pandya,"October 11, 1993, Choryasi, Gujarat",29y 297d,Right hand Bat,Right arm Medium fast,Batting Allrounder,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319938.png",2016,2023,258.8,8.0,1469.0,37.0,5.998684210526315,765.0,125.0,26.0,52.0,6.0,0.0,1556.0,38.0,30.0,0.0,28.88235294117647,Batting Allrounder,12.458654906284455,14.705882352941178,0.0,39.7027027027027,42.054054054054056,1.0,93.05322479273245,Hardik Pandya,/cricketers/hardik-pandya-625371
1,233.0,272.0,17.0,6.0,95.06666666666666,0.0,1.0,9.0,Washington Sundar,"October 05, 1999, Chennai, Tamil Nadu",23y 303d,Left hand Bat,Right arm Offbreak,Batting Allrounder,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322619.png",2017,2023,76.0,2.0,370.0,15.0,4.603846153846154,246.0,24.0,12.0,7.0,1.0,0.0,456.0,13.0,4.0,0.0,25.88888888888889,Batting Allrounder,8.455882352941178,11.11111111111111,0.0,24.666666666666668,30.4,2.0,42.65224994521279,Washington Sundar,/cricketers/washington-sundar-719715
2,135.0,220.0,8.0,0.0,63.2512,0.0,0.0,25.0,Kuldeep Yadav,"December 14, 1994, Kanpur, Uttar Pradesh",28y 233d,Left hand Bat,Left arm Wrist spin,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319943.png",2014,2023,591.6,15.0,3135.0,111.0,5.306969696969697,1745.0,197.0,94.0,33.0,0.0,1.0,3552.0,66.0,12.0,0.0,5.4,Bowler,3.6363636363636362,0.0,0.0,28.243243243243242,32.0,1.0,1.189920882645073,Kuldeep Yadav,/cricketers/kuldeep-yadav-559235
3,76.0,130.0,8.0,0.0,55.115833333333335,0.0,0.0,12.0,Yuzvendra Chahal,"July 23, 1990, Jind, Haryana",33y 12d,Right hand Bat,Legbreak Googly,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319955.png",2016,2023,476.5,5.0,2606.0,94.0,5.576037735849056,1396.0,144.0,93.0,40.0,8.0,2.0,2869.0,53.0,16.0,0.0,6.333333333333333,Bowler,6.153846153846154,0.0,0.0,27.72340425531915,30.52127659574468,2.0,1.0178637185917143,Yuzvendra Chahal,/cricketers/yuzvendra-chahal-430246
4,88.0,106.0,7.0,3.0,67.33250000000001,0.0,0.0,20.0,Mohammed Shami,"September 03, 1990, Amroha, Uttar Pradesh",32y 335d,Right hand Bat,Right arm Fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316691.png",2013,2023,325.9,16.0,1896.0,71.0,5.747179487179487,1094.0,222.0,32.0,62.0,1.0,1.0,1963.0,39.0,29.0,0.0,4.4,Bowler,9.433962264150944,0.0,0.0,26.704225352112676,27.64788732394366,3.0,0.7877185936283292,Mohammed Shami,/cricketers/mohammed-shami-481896
5,36.0,62.0,3.0,1.0,59.946000000000005,0.0,0.0,15.0,Jasprit Bumrah,"December 06, 1993, Ahmedabad",29y 241d,Right hand Bat,Right arm Fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319940.png",2016,2022,365.6,26.0,1668.0,65.0,4.447317073170732,1316.0,174.0,12.0,44.0,3.0,1.0,2200.0,41.0,17.0,0.0,2.4,Bowler,6.451612903225806,0.0,0.0,25.661538461538463,33.84615384615385,4.0,0.741989046741607,Jasprit Bumrah,/cricketers/jasprit-bumrah-625383
6,213.0,296.0,15.0,3.0,61.8138888888889,0.0,0.0,18.0,Bhuvneshwar Kumar,"February 05, 1990, Meerut, Uttar Pradesh",33y 180d,Right hand Bat,Right arm Medium,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316658.png",2012,2022,312.5,12.0,1693.0,53.0,5.358205128205128,1047.0,163.0,35.0,50.0,1.0,0.0,1877.0,39.0,29.0,0.0,11.833333333333334,Bowler,6.081081081081082,0.0,0.0,31.943396226415093,35.41509433962264,5.0,0.606822399881037,Bhuvneshwar Kumar,/cricketers/bhuvneshwar-kumar-326016
7,298.0,271.0,29.0,9.0,101.78666666666666,0.0,1.0,21.0,Shardul Thakur,"October 16, 1991, Palghar, Maharashtra",31y 292d,Right hand Bat,Right arm Medium,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322696.png",2017,2023,243.1,9.0,1525.0,49.0,6.278181818181818,763.0,148.0,43.0,57.0,14.0,0.0,1463.0,33.0,7.0,0.0,14.19047619047619,Bowler,14.022140221402212,4.761904761904762,0.0,31.122448979591837,29.857142857142858,6.0,0.5602954458464536,Shardul Thakur,/cricketers/shardul-thakur-475281
8,30.0,64.0,2.0,0.0,48.582,0.0,0.0,10.0,Mohammed Siraj,"March 13, 1994, Hyderabad",29y 144d,Right hand Bat,Right arm Fast,Bowler,India,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2017,2023,185.8,19.0,891.0,43.0,4.91875,738.0,114.0,10.0,44.0,1.0,0.0,1118.0,24.0,5.0,0.0,3.0,Bowler,3.125,0.0,0.0,20.72093023255814,26.0,7.0,0.5218410579804057,Mohammed Siraj,/cricketers/mohammed-siraj-940973
9,2.0,12.0,0.0,0.0,13.331999999999999,0.0,0.0,5.0,Prasidh Krishna,"February 19, 1996, Bangalore, Karnataka",27y 166d,Right hand Bat,Right arm Fast medium,Bowler,India,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2021,2022,111.8,7.0,598.0,25.0,5.4592857142857145,420.0,73.0,13.0,16.0,3.0,0.0,674.0,14.0,2.0,0.0,0.4,Bowler,0.0,0.0,0.0,23.92,26.96,8.0,0.33261988974536427,Prasidh Krishna,/cricketers/prasidh-krishna-917159
