,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,100s,50s,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,5w_haul,balls_bowled,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,50_%,100_%,bowling_average,bowling_strikerate,Rank,Combined_Rank,Player_name,Player_link
0,982,907,83,30,100.2767647,0,5,34,Hardik Pandya,"October 11, 1993, Choryasi, Gujarat",29y 297d,Right hand Bat,Right arm Medium fast,Batting Allrounder,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319938.png",2016,2023,258.8,8,1469,37,5.998684211,765,125,26,52,6,0,1556,38,30,0,28.88235294,Batting Allrounder,12.45865491,14.70588235,0,39.7027027,42.05405405,1,93.05322479,Hardik Pandya,/cricketers/hardik-pandya-625371
1,233,272,17,6,95.06666667,0,1,9,Washington Sundar,"October 05, 1999, Chennai, Tamil Nadu",23y 303d,Left hand Bat,Right arm Offbreak,Batting Allrounder,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322619.png",2017,2023,76,2,370,15,4.603846154,246,24,12,7,1,0,456,13,4,0,25.88888889,Batting Allrounder,8.455882353,11.11111111,0,24.66666667,30.4,2,42.65224995,Washington Sundar,/cricketers/washington-sundar-719715
2,135,220,8,0,63.2512,0,0,25,Kuldeep Yadav,"December 14, 1994, Kanpur, Uttar Pradesh",28y 233d,Left hand Bat,Left arm Wrist spin,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319943.png",2014,2023,591.6,15,3135,111,5.306969697,1745,197,94,33,0,1,3552,66,12,0,5.4,Bowler,3.636363636,0,0,28.24324324,32,1,1.189920883,Kuldeep Yadav,/cricketers/kuldeep-yadav-559235
3,76,130,8,0,55.11583333,0,0,12,Yuzvendra Chahal,"July 23, 1990, Jind, Haryana",33y 12d,Right hand Bat,Legbreak Googly,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319955.png",2016,2023,476.5,5,2606,94,5.576037736,1396,144,93,40,8,2,2869,53,16,0,6.333333333,Bowler,6.153846154,0,0,27.72340426,30.5212766,2,1.017863719,Yuzvendra Chahal,/cricketers/yuzvendra-chahal-430246
4,88,106,7,3,67.3325,0,0,20,Mohammed Shami,"September 03, 1990, Amroha, Uttar Pradesh",32y 335d,Right hand Bat,Right arm Fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316691.png",2013,2023,325.9,16,1896,71,5.747179487,1094,222,32,62,1,1,1963,39,29,0,4.4,Bowler,9.433962264,0,0,26.70422535,27.64788732,3,0.787718594,Mohammed Shami,/cricketers/mohammed-shami-481896
5,36,62,3,1,59.946,0,0,15,Jasprit Bumrah,"December 06, 1993, Ahmedabad",29y 241d,Right hand Bat,Right arm Fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319940.png",2016,2022,365.6,26,1668,65,4.447317073,1316,174,12,44,3,1,2200,41,17,0,2.4,Bowler,6.451612903,0,0,25.66153846,33.84615385,4,0.741989047,Jasprit Bumrah,/cricketers/jasprit-bumrah-625383
6,213,296,15,3,61.81388889,0,0,18,Bhuvneshwar Kumar,"February 05, 1990, Meerut, Uttar Pradesh",33y 180d,Right hand Bat,Right arm Medium,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316658.png",2012,2022,312.5,12,1693,53,5.358205128,1047,163,35,50,1,0,1877,39,29,0,11.83333333,Bowler,6.081081081,0,0,31.94339623,35.41509434,5,0.6068224,Bhuvneshwar Kumar,/cricketers/bhuvneshwar-kumar-326016
7,298,271,29,9,101.7866667,0,1,21,Shardul Thakur,"October 16, 1991, Palghar, Maharashtra",31y 292d,Right hand Bat,Right arm Medium,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322696.png",2017,2023,243.1,9,1525,49,6.278181818,763,148,43,57,14,0,1463,33,7,0,14.19047619,Bowler,14.02214022,4.761904762,0,31.12244898,29.85714286,6,0.560295446,Shardul Thakur,/cricketers/shardul-thakur-475281
8,30,64,2,0,48.582,0,0,10,Mohammed Siraj,"March 13, 1994, Hyderabad",29y 144d,Right hand Bat,Right arm Fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322611.png",2017,2023,185.8,19,891,43,4.91875,738,114,10,44,1,0,1118,24,5,0,3,Bowler,3.125,0,0,20.72093023,26,7,0.521841058,Mohammed Siraj,/cricketers/mohammed-siraj-940973
9,2,12,0,0,13.332,0,0,5,Prasidh Krishna,"February 19, 1996, Bangalore, Karnataka",27y 166d,Right hand Bat,Right arm Fast medium,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322617.png",2021,2022,111.8,7,598,25,5.459285714,420,73,13,16,3,0,674,14,2,0,0.4,Bowler,0,0,0,23.92,26.96,8,0.33261989,Prasidh Krishna,/cricketers/prasidh-krishna-917159
10,203,207,17,8,88.67888889,0,2,9,Deepak Chahar,"August 07, 1992, Agra, Uttar Pradesh",30y 362d,Right hand Bat,Right arm Medium,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322704.png",2018,2022,85,5,489,16,5.776666667,291,55,9,19,4,0,510,12,1,0,22.55555556,Bowler,12.07729469,22.22222222,0,30.5625,31.875,9,0.234172929,Deepak Chahar,/cricketers/deepak-chahar-447261
11,2,9,0,0,13.33333333,0,0,3,Umran Malik,"November 22, 1999, Gujjar Nagar, Jammu & Kashmir",23y 255d,Right hand Bat,Right arm Fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/343200/343263.png",2022,2023,55,2,355,13,6.48,173,45,5,10,4,0,330,7,1,0,0.666666667,Bowler,0,0,0,27.30769231,25.38461538,10,0.202257457,Umran Malik,/cricketers/umran-malik-1246528
12,2,4,0,0,50,0,0,1,Kuldeep Sen,"October 22, 1996, Rewa, Madhya Pradesh",26y 286d,Right hand Bat,Right arm Fast,Bowler,India,,2022,2022,5,0,37,2,7.4,16,1,3,3,0,0,30,1,0,0,2,Bowler,0,0,0,18.5,15,11,0.100990991,Kuldeep Sen,/cricketers/kuldeep-sen-1163695
13,0,2,0,0,0,0,0,1,Umesh Yadav,"October 25, 1987, Nagpur, Maharashtra",35y 283d,Right hand Bat,Right arm Fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316667.png",2010,2023,39.5,0,275,4,6.9025,112,35,3,5,1,0,239,4,22,0,0,Bowler,0,0,0,68.75,59.75,12,0.094046614,Umesh Yadav,/cricketers/umesh-yadav-376116
14,13,18,2,0,66.665,0,0,2,Avesh Khan,"December 13, 1996, Indore, Madhya Pradesh",26y 234d,Right hand Bat,Right arm Fast medium,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322244.png",2022,2022,35.3,2,214,3,5.782,118,24,5,6,2,0,213,5,3,0,6.5,Bowler,11.11111111,0,0,71.33333333,71,13,0.091574512,Avesh Khan,/cricketers/avesh-khan-694211
15,2,6,0,0,33.33,0,0,1,Jayant Yadav,"January 22, 1990, Delhi",33y 194d,Right hand Bat,Right arm Offbreak,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322500/322553.png",2016,2022,10,0,53,0,5.3,30,3,1,1,1,0,60,1,1,0,2,Bowler,0,0,0,2000,2000,14,0.056948774,Jayant Yadav,/cricketers/jayant-yadav-447587
16,4,2,1,0,200,0,0,1,Ravi Bishnoi,"September 05, 2000, Jodhpur, Rajasthan",22y 333d,Right hand Bat,Legbreak Googly,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/337100/337188.png",2022,2022,8,0,69,1,8.62,21,7,1,4,1,0,48,1,0,0,4,Bowler,50,0,0,69,48,15,0.056387929,Ravi Bishnoi,/cricketers/ravi-bishnoi-1175441
17,9,9,0,1,100,0,0,1,Arshdeep Singh,"February 05, 1999, Guna, Madhya Pradesh",24y 180d,Left hand Bat,Left arm Medium fast,Bowler,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322178.png",2022,2023,13.1,1,89,0,6.26,45,10,3,2,1,0,79,2,0,0,9,Bowler,11.11111111,0,0,2000,2000,16,0.048268323,Arshdeep Singh,/cricketers/arshdeep-singh-1125976
18,612,725,34,14,85.7044,0,3,25,Ravindra Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",34y 241d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316600.png",2009,2023,318.5,5,1575,36,4.913428571,948,105,36,15,5,0,1913,35,65,0,24.48,Bowling Allrounder,6.620689655,12,0,43.75,53.13888889,1,45.5248951,Ravindra Jadeja,/cricketers/ravindra-jadeja-234675
19,231,205,10,13,96.47272727,0,2,11,Axar Patel,"January 20, 1994, Anand, Gujarat",29y 196d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331164.png",2014,2023,84.3,5,413,13,5.043333333,271,33,10,1,1,0,507,12,23,0,21,Bowling Allrounder,11.2195122,18.18181818,0,31.76923077,39,2,29.09916926,Axar Patel,/cricketers/axar-patel-554691
20,153,189,10,1,74.86428571,0,0,7,Deepak Hooda,"April 19, 1995, Rohtak",28y 107d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/345000/345083.png",2022,2023,25,1,119,3,5.176666667,79,8,3,4,0,0,150,6,3,0,21.85714286,Bowling Allrounder,5.82010582,0,0,39.66666667,50,3,21.15537483,Deepak Hooda,/cricketers/deepak-hooda-497121
