,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,Rank,Combined_Rank,Is_Captain
0,982.0,907.0,83.0,30.0,100.27676470588234,34.0,Hardik Pandya,"October 11, 1993, Choryasi, Gujarat",29y 297d,Right hand Bat,Right arm Medium fast,Batting Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Hardik_Pandya_%28cropped%29.jpg/220px-Hardik_Pandya_%28cropped%29.jpg,2016,2023,258.8,8.0,1469.0,37.0,5.998684210526315,765.0,125.0,26.0,52.0,6.0,38.0,30.0,0.0,28.88235294117647,Batting Allrounder,12.458654906284455,1.0,47.94856078539465,
1,612.0,725.0,34.0,14.0,85.7044,25.0,Ravindra Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",34y 241d,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,India,,2009,2023,318.5,5.0,1575.0,36.0,4.913428571428572,948.0,105.0,36.0,15.0,5.0,35.0,65.0,0.0,24.48,Batting Allrounder,6.620689655172414,2.0,41.2252724137931,
2,233.0,272.0,17.0,6.0,95.06666666666666,9.0,Washington Sundar,"October 05, 1999, Chennai, Tamil Nadu",23y 303d,Left hand Bat,Right arm Offbreak,Batting Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Washington_Sundar.jpg/220px-Washington_Sundar.jpg,2017,2023,76.0,2.0,370.0,15.0,4.603846153846154,246.0,24.0,12.0,7.0,1.0,13.0,4.0,0.0,25.88888888888889,Batting Allrounder,8.455882352941178,3.0,38.14730392156863,
3,135.0,220.0,8.0,0.0,63.2512,25.0,Kuldeep Yadav,"December 14, 1994, Kanpur, Uttar Pradesh",28y 233d,Left hand Bat,Left arm Wrist spin,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Kuldeep_Yadav.jpg/220px-Kuldeep_Yadav.jpg,2014,2023,591.6,15.0,3135.0,111.0,5.306969696969697,1745.0,197.0,94.0,33.0,0.0,66.0,12.0,0.0,5.4,Bowler,3.6363636363636362,1.0,66.67537258036886,
4,76.0,130.0,8.0,0.0,55.115833333333335,12.0,Yuzvendra Chahal,"July 23, 1990, Jind, Haryana",33y 12d,Right hand Bat,Legbreak Googly,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Yuzvendra_Chahal.jpg/220px-Yuzvendra_Chahal.jpg,2016,2023,476.5,5.0,2606.0,94.0,5.576037735849056,1396.0,144.0,93.0,40.0,8.0,53.0,16.0,0.0,6.333333333333333,Bowler,6.153846153846154,2.0,56.471735526004124,
5,88.0,106.0,7.0,3.0,67.33250000000001,20.0,Mohammed Shami,"September 03, 1990, Amroha, Uttar Pradesh",32y 335d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Indian_Cricket_team_training_SCG_2015_%2816007161637%29.jpg/220px-Indian_Cricket_team_training_SCG_2015_%2816007161637%29.jpg,2013,2023,325.9,16.0,1896.0,71.0,5.747179487179487,1094.0,222.0,32.0,62.0,1.0,39.0,29.0,0.0,4.4,Bowler,9.433962264150944,3.0,42.66959935754439,
6,36.0,62.0,3.0,1.0,59.946000000000005,15.0,Jasprit Bumrah,"December 06, 1993, Ahmedabad",29y 241d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Jasprit_Bumrah_%284%29.jpg/220px-Jasprit_Bumrah_%284%29.jpg,2016,2022,365.6,26.0,1668.0,65.0,4.447317073170732,1316.0,174.0,12.0,44.0,3.0,41.0,17.0,0.0,2.4,Bowler,6.451612903225806,4.0,39.08994186684216,
7,213.0,296.0,15.0,3.0,61.8138888888889,18.0,Bhuvneshwar Kumar,"February 05, 1990, Meerut, Uttar Pradesh",33y 180d,Right hand Bat,Right arm Medium,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Bhuvneshwar_kumar_With_Rashid_Zirak_%28Bhuvneshwar_Kumar_cropped%29.jpg/220px-Bhuvneshwar_kumar_With_Rashid_Zirak_%28Bhuvneshwar_Kumar_cropped%29.jpg,2012,2022,312.5,12.0,1693.0,53.0,5.358205128205128,1047.0,163.0,35.0,50.0,1.0,39.0,29.0,0.0,11.833333333333334,Bowler,6.081081081081082,5.0,31.874651863903907,
8,298.0,271.0,29.0,9.0,101.78666666666666,21.0,Shardul Thakur,"October 16, 1991, Palghar, Maharashtra",31y 292d,Right hand Bat,Right arm Medium,Bowler,India,,2017,2023,243.1,9.0,1525.0,49.0,6.278181818181818,763.0,148.0,43.0,57.0,14.0,33.0,7.0,0.0,14.19047619047619,Bowler,14.022140221402212,6.0,29.463712713582392,
9,30.0,64.0,2.0,0.0,48.582,10.0,Mohammed Siraj,"March 13, 1994, Hyderabad",29y 144d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Mohammed_Siraj.jpg/220px-Mohammed_Siraj.jpg,2017,2023,185.8,19.0,891.0,43.0,4.91875,738.0,114.0,10.0,44.0,1.0,24.0,5.0,0.0,3.0,Bowler,3.125,7.0,25.881321473951715,
10,2.0,12.0,0.0,0.0,13.331999999999999,5.0,Prasidh Krishna,"February 19, 1996, Bangalore, Karnataka",27y 166d,Right hand Bat,Right arm Fast medium,Bowler,India,,2021,2022,111.8,7.0,598.0,25.0,5.4592857142857145,420.0,73.0,13.0,16.0,3.0,14.0,2.0,0.0,0.4,Bowler,0.0,8.0,15.073269658511055,
11,203.0,207.0,17.0,8.0,88.67888888888889,9.0,Deepak Chahar,"August 07, 1992, Agra, Uttar Pradesh",30y 362d,Right hand Bat,Right arm Medium,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Deepak_Chahar.jpg/220px-Deepak_Chahar.jpg,2018,2022,85.0,5.0,489.0,16.0,5.776666666666666,291.0,55.0,9.0,19.0,4.0,12.0,1.0,0.0,22.555555555555557,Bowler,12.077294685990339,9.0,9.669244085401038,
12,2.0,9.0,0.0,0.0,13.333333333333334,3.0,Umran Malik,"November 22, 1999, Gujjar Nagar, Jammu & Kashmir",23y 255d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Umran_Malik_in_GGM.jpg/220px-Umran_Malik_in_GGM.jpg,2022,2023,55.0,2.0,355.0,13.0,6.4799999999999995,173.0,45.0,5.0,10.0,4.0,7.0,1.0,0.0,0.6666666666666666,Bowler,0.0,10.0,7.8617283950617285,
13,0.0,2.0,0.0,0.0,0.0,1.0,Umesh Yadav,"October 25, 1987, Nagpur, Maharashtra",35y 283d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Umesh_Yadav.jpg/220px-Umesh_Yadav.jpg,2010,2023,39.5,0.0,275.0,4.0,6.9025,112.0,35.0,3.0,5.0,1.0,4.0,22.0,0.0,0.0,Bowler,0.0,11.0,2.4579500181093805,
14,13.0,18.0,2.0,0.0,66.66499999999999,2.0,Avesh Khan,"December 13, 1996, Indore, Madhya Pradesh",26y 234d,Right hand Bat,Right arm Fast medium,Bowler,India,,2022,2022,35.3,2.0,214.0,3.0,5.782,118.0,24.0,5.0,6.0,2.0,5.0,3.0,0.0,6.5,Bowler,11.11111111111111,12.0,1.8691802144586647,
15,2.0,4.0,0.0,0.0,50.0,1.0,Kuldeep Sen,"October 22, 1996, Rewa, Madhya Pradesh",26y 286d,Right hand Bat,Right arm Fast,Bowler,India,,2022,2022,5.0,0.0,37.0,2.0,7.4,16.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,Bowler,0.0,13.0,1.254054054054054,
16,4.0,2.0,1.0,0.0,200.0,1.0,Ravi Bishnoi,"September 05, 2000, Jodhpur, Rajasthan",22y 333d,Right hand Bat,Legbreak Googly,Bowler,India,,2022,2022,8.0,0.0,69.0,1.0,8.62,21.0,7.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,Bowler,50.0,14.0,0.6464037122969838,
17,2.0,6.0,0.0,0.0,33.33,1.0,Jayant Yadav,"January 22, 1990, Delhi",33y 194d,Right hand Bat,Right arm Offbreak,Bowler,India,,2016,2022,10.0,0.0,53.0,0.0,5.3,30.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,Bowler,0.0,15.0,0.07547169811320756,
18,9.0,9.0,0.0,1.0,100.0,1.0,Arshdeep Singh,"February 05, 1999, Guna, Madhya Pradesh",24y 180d,Left hand Bat,Left arm Medium fast,Bowler,India,,2022,2023,13.1,1.0,89.0,0.0,6.26,45.0,10.0,3.0,2.0,1.0,2.0,0.0,0.0,9.0,Bowler,11.11111111111111,16.0,0.06389776357827476,
